0,147,147,0
1,146.8,146.9961201,50
2,146.7,146.968965,66.66666667
3,146.5,146.8952966,75
4,146.3,146.7519976,80
5,146.1,146.5162105,83.33333333
6,145.5,146.1655301,85.71428571
7,145.1,145.678248,87.5
8,144.3,145.0336442,88.88888889
9,143.8,144.2123219,90
10,143.2,143.1965756,90.90909091
11,142,141.9707856,91.66666667
12,140.7,140.5218247,92.30769231
13,139.6,138.8394651,92.85714286
14,137.9,136.9167686,93.33333333
15,136,134.7504434,93.75
16,134.7,132.3411497,94.11764706
17,133.3,129.6937352,94.44444444
18,131,126.8173848,94.73684211
19,128.2,123.7256653,95
20,125,120.4364566,95.23809524
21,121,116.971756,95.45454545
22,118,113.3573536,95.65217391
23,114.6,109.6223783,95.83333333
24,111.3,105.7987227,96
25,108,101.9203586,96.15384615
26,104.8,98.02256375,96.2962963
27,100,94.14108487,96.42857143
28,97.6,90.31126581,96.55172414
29,94.7,86.56717494,96.66666667
30,91.9,82.94076599,96.77419355
31,89.8,79.46110676,96.875
32,87.4,76.15370802,96.96969697
33,85.1,73.03998025,97.05882353
34,83.2,70.1368401,97.14285714
35,80,67.45648091,97.22222222
36,75.9,65.00631299,97.2972973
37,70,62.78907101,97.36842105
38,58,60.80307676,97.43589744
39,46.2,59.04263829,97.5
40,33,57.49855982,97.56097561
41,26,56.15873241,97.61904762
42,30,55.00877302,97.6744186
43,38.7,54.03267924,97.72727273
44,48.3,53.21346881,97.77777778
45,54,52.53377676,97.82608696
46,56,51.97638808,97.87234043
47,56.6,51.5246898,97.91666667
48,56.2,51.16303269,97.95918367
49,51.6,50.87699936,98
50,48,50.65358086,98.03921569
51,39.2,50.48126895,98.07692308
52,35.1,50.35007459,98.11320755
53,29.2,50.25148573,98.14814815
54,28.5,50.17837824,98.18181818
55,33.7,50.12489411,98.21428571
56,37.2,50.08629971,98.24561404
57,43.9,50.05883555,98.27586207
58,52.2,50.03956664,98.30508475
59,58,50.02624056,98.33333333
60,62.3,50.01715803,98.36065574
61,63,50.0110588,98.38709677
62,63.4,50.00702409,98.41269841
63,62.5,50.00439552,98.4375
64,58.6,50.00270934,98.46153846
65,52.3,50.00164455,98.48484848
66,49,50.00098278,98.50746269
67,43.5,50.00057807,98.52941176
68,47.3,50.0003346,98.55072464
69,54.5,50.00019054,98.57142857
70,63.3,50.00010672,98.5915493
71,68.4,50.00005878,98.61111111
72,72.2,50.00003183,98.63013699
73,75,50.00001694,98.64864865
74,73.7,50.00000886,98.66666667
75,71.6,50.00000455,98.68421053
76,68.7,50.0000023,98.7012987
77,59.8,50.00000114,98.71794872
78,51,50.00000055,98.73417722
79,47.3,50.00000026,98.75
80,55,50.00000012,98.7654321
81,62,50.00000006,98.7804878
82,69,50.00000003,98.79518072
83,75,50.00000001,98.80952381
84,77,50,98.82352941
85,78.8,50,98.8372093
86,78,50,98.85057471
87,74,50,98.86363636
88,67.2,50,98.87640449
89,62.7,50,98.88888889
90,56,50,98.9010989
